fname,label
805847067.180922180001_194385_194516_GN.wav,2
805847067.180922180001_194306_194342_CR.wav,1
805847067.180922180001_193044_193286_GN.wav,2
805847067.180922180001_192957_193001_CR.wav,1
805847067.180922180001_192774_192794_WH.wav,6
805847067.180922180001_192643_192721_MO.wav,4
805847067.180922180001_192159_192206_CR.wav,1
805847067.180922180001_191701_192063_MO.wav,4
805847067.180922160001_054171_054366_GN.wav,2
805847067.180922160001_053228_053329_GN.wav,2
805847067.180922160001_052875_052994_GN.wav,2
805847067.180922050001_134985_135065_GL.wav,3
805847067.180922050001_134900_134992_MO.wav,4
805847067.180922050001_134526_134656_MO.wav,4
805847067.180922050001_134438_134459_WH.wav,6
805847067.180922050001_134013_134367_GL.wav,3
805847067.180922050001_133785_133823_CR.wav,1
805847067.180922050001_133660_133766_GL.wav,3
805847067.180922050001_133191_133220_CR.wav,1
805847067.180922050001_132747_132777_CR.wav,1
805847067.180922050001_132308_132570_GL.wav,3
805847067.180908185957_274517_274678_GL.wav,3
805847067.180908185957_274412_274526_MO.wav,4
805847067.180908185957_274159_274182_WH.wav,6
805847067.180908185957_273898_274091_GL.wav,3
805847067.180908185957_273793_273839_CR.wav,1
805847067.180908185957_273770_273789_WH.wav,6
805847067.180908185957_273620_273643_WH.wav,6
805847067.180908185957_273599_273622_WH.wav,6
805847067.180908185957_273580_273601_WH.wav,6
805847067.180908185957_273561_273582_WH.wav,6
805847067.180908185957_273533_273562_WH.wav,6
805847067.180908185957_273453_273511_GL.wav,3
805847067.180908185957_272954_273342_GL.wav,3
805847067.180908185957_272853_272966_MO.wav,4
805847067.180908185957_272729_272850_MO.wav,4
805847067.180908175957_042076_042163_MO.wav,4
805847067.180908175957_041932_042019_MO.wav,4
805847067.180908175957_041834_041926_MO.wav,4
805847067.180908175957_041667_041779_MO.wav,4
805847067.180908175957_041586_041667_MO.wav,4
805847067.180908175957_041486_041516_WH.wav,6
805847067.180908175957_041213_041248_CR.wav,1
805847067.180908175957_040820_041071_GL.wav,3
805847067.180908175957_040691_040824_MO.wav,4
