file_name	start_time	end_time	vocal_type	quality	saved_clip_name	comments
805847067.170916064815	22:10.89	22:11.89	Moan	P	805847067.170916064815_221089_221189_MO	
805847067.170916064815	22:21.44	22:22.00	Moan	P	805847067.170916064815_222144_222200_MO	
805847067.170916064815	22:28.26	22:28.67	Moan	P	805847067.170916064815_222826_222867_MO	
805847067.170916064815	22:33.11	22:33.42	Moan	P	805847067.170916064815_223311_223342_MO	
805847067.170916064815	22:33.52	22:34.64	Croak	P	805847067.170916064815_223352_223464_CR	
805847067.170916064815	25:05.82	25:06.29	Moan	P	805847067.170916064815_250582_250629_MO	
805847067.170916064815	25:17.51	25:17.74	Croak	P	805847067.170916064815_251751_251774_CR	
805847067.170916064815	25:22.09	25:22.90	Sneeze	G	805847067.170916064815_252209_252290_Sneeze	
805847067.170916064815	25:25.96	25:26.16	Whoop	G	805847067.170916064815_252596_252616_WH	
805847067.170916064815	25:26.98	25:28.69	Moan	G	805847067.170916064815_252698_252869_MO	
805847067.170916064815	25:28.68	25:30.03	Growl	G	805847067.170916064815_252868_253003_GL	Gurgle
805847067.170916064815	25:31.12	25:31.40	Whoop	G	805847067.170916064815_253112_253140_WH	
805847067.170916064815	25:31.59	25:31.81	Whoop	G	805847067.170916064815_253159_253181_WH	
805847067.170916064815	25:32.13	25:32.34	Whoop	G	805847067.170916064815_253213_253234_WH	
805847067.170916064815	25:32.40	25:32.83	Croak	G	805847067.170916064815_253240_253283_CR	
805847067.170916064815	25:32.99	25:33.57	Croak	G	805847067.170916064815_253299_253357_CR	
805847067.170916064815	25:35.01	25:36.02	Moan	G	805847067.170916064815_253501_253602_MO	Ascending moan
805847067.170916064815	25:35.99	25:36.21	Whoop	G	805847067.170916064815_253599_253621_WH	
805847067.170916064815	25:36.20	25:36.40	Whoop	G	805847067.170916064815_253620_253640_WH	
805847067.170916064815	31:47.90	31:48.46	Moan	P	805847067.170916064815_314790_314846_MO	
805847067.170916064815	56:44.98	56:49.37	Rumble	G	805847067.170916064815_564498_564937_RU	
805847067.170916064815	56:56.15	56:56.82	Moan	G	805847067.170916064815_565615_565682_MO	
805847067.170916064815	56:57.02	57:01.02	Rumble	G	805847067.170916064815_565702_570102_RU	
